modules_directory,testray_main_component
modules/util/portal-tools-db-partition-migration-validator,Database Partitioning
portal-impl,Database Partitioning
portal-kernel,Database Partitioning
modules/apps/portal,Database Upgrade Framework
modules/util/portal-tools-db-migration-importer,Database Upgrade Framework
portal-impl,Database Upgrade Framework
portal-kernel,Database Upgrade Framework
modules/util/portal-tools-db-upgrade-client,Database Upgrade Tool
modules/apps/headless,Headless Portal Instances API
modules/apps/portal,Upgrade Logging
modules/apps/portal,Upgrade Report
modules/apps/company,Virtual Instances
modules/apps/portal-instances,Virtual Instances
modules/apps/portal,Virtual Instances
portal-kernel,Virtual Instances
modules/dxp/apps/analytics,A/B Test
modules/apps/portal-security,Auth Verifiers
modules/apps/portal-security,Auto Login
modules/apps/auto-taggingt,Auto Tagging
modules/apps/asset-list,Asset Framework
modules/apps/layout,Display Page Templates
modules/apps/headless,Headless Admin Configuration
modules/apps/headless,Headless CMP API
modules/apps/object,Headless Object API
modules/apps/headless,Headless Site API
modules/apps/portal-security-sso,LDAP
modules/apps/portal-security-sso,OpenID Connect
modules/apps/roles,Permissions
modules/apps/asset-tags-admin,Tags
modules/apps/site,Site Teams
modules/apps/layout,Page Administration
modules/apps/portal-instances,Instance Settings
modules/apps/frontend-js,Clay
modules/apps/layout,Page Templates
modules/apps/fragment,Out of the box Fragments
modules/apps/accessibility,Accessibility Framework
modules/apps/frontend-js,JS APIs and Utilities
modules/apps/headless,Headless Delivery API
modules/apps/ai/ai-hub-web,AI Hub
modules/apps/site-initializer/site-initializer-extender,Site Management > Site Initializer
modules/apps/headless/headless-admin-site/headless-admin-site-impl/src/main,Headless Site API
modules/apps/headless/headless-admin-site/headless-admin-site-client/src/main,Headless Site API
modules/apps/portal-search-elasticsearch8/portal-search-elasticsearch8-impl/src/main,Search Infrastructure > Elasticsearch Connector

